beta_bigram,beta_trigram,accuracy,avg_guesses,time_s
0.3,0.3,0.9933333333333333,3.88,20.95493721961975
0.6,0.9,0.9933333333333333,3.94,20.26247501373291
0.6,0.3,0.9866666666666667,3.84,17.78742814064026
0.3,0.9,0.9866666666666667,3.8533333333333335,18.011431217193604
0.9,0.9,0.9866666666666667,4.08,19.73064875602722
0.0,0.0,0.98,3.8933333333333335,22.0644211769104
1.5,0.0,0.98,3.9,18.652191400527954
1.2,1.2,0.98,3.966666666666667,18.53419280052185
1.5,0.3,0.98,3.973333333333333,16.417057991027832
0.3,0.0,0.98,3.973333333333333,20.829550981521606
1.2,0.6,0.98,3.98,17.38685894012451
0.6,0.0,0.98,4.0,20.93383240699768
0.6,1.5,0.98,4.046666666666667,23.049744844436646
1.2,1.5,0.98,4.053333333333334,16.28394889831543
1.5,1.2,0.98,4.073333333333333,16.743004322052002
1.2,0.3,0.98,4.113333333333333,24.7822687625885
0.0,1.2,0.9733333333333334,3.9266666666666667,17.296759366989136
0.9,0.3,0.9733333333333334,3.9466666666666668,19.77948832511902
1.5,0.6,0.9733333333333334,3.966666666666667,18.920687198638916
0.6,1.2,0.9733333333333334,3.986666666666667,19.953572988510132
0.9,1.5,0.9733333333333334,4.02,21.16722798347473
0.0,0.9,0.9666666666666667,3.933333333333333,17.365328788757324
0.3,1.5,0.9666666666666667,4.006666666666667,19.26778769493103
0.0,1.5,0.9666666666666667,4.086666666666667,17.364160299301147
1.2,0.9,0.9666666666666667,4.086666666666667,21.458518266677856
0.3,1.2,0.96,3.8733333333333335,16.70876169204712
0.0,0.3,0.96,3.98,19.968841552734375
0.9,1.2,0.96,4.006666666666667,17.549795389175415
0.3,0.6,0.96,4.08,20.72358274459839
0.0,0.6,0.96,4.093333333333334,18.837600708007812
0.9,0.0,0.96,4.093333333333334,20.176116466522217
1.5,1.5,0.9533333333333334,3.9266666666666667,17.433167934417725
0.9,0.6,0.9533333333333334,4.046666666666667,19.03968596458435
1.2,0.0,0.9533333333333334,4.113333333333333,17.972808837890625
1.5,0.9,0.9533333333333334,4.133333333333334,18.508453130722046
0.6,0.6,0.94,4.013333333333334,18.341200590133667
